RE_100,,RE_60,
X,Y,X,Y
0.00038794441187628426,0.002431867965461132,0.0034914997068864473,0.021742878689968936
0.10264034591897475,-0.21157251299520174,0.10263659766378763,-0.2309195069695067
0.2017816956206886,-0.4835818926289823,0.20178544387587583,-0.46423489865467715
0.49922448600176594,-1.202875061658799,0.49922448600176594,-1.202875061658799
1.0042456486505529,-2.4856419336798727,1.100287191312444,-2.7576153300638553
1.4999486489039353,-3.86503582582308,1.1994247927589705,-3.048971703671941
1.5990862503504615,-4.156392199431165,1.2985661424606842,-3.320981083305722
1.698220103541801,-4.467095567013556,1.4008072992022211,-3.593026446189299
1.7973539567331405,-4.777798934595946,2.4973593542206096,-7.629939263272947
1.899580120453928,-5.127232273376744,,
1.998698980624519,-5.515323616856354,,
2.4973593542206096,-7.629939263272947,,
