RE_100_A_0.0,,RE_100_A_0.5,,RE_100_A_1.0,,RE_100_A_1.5,
X,Y,X,Y,X,Y,X,Y
1.3323242661248982,0.32689304448317036,1.267942420554211,-0.8682496875454944,1.1020215314402149,-2.1227440432523004,0.8148996896357481,-3.5533332467196184
1.3351890028443556,0.3138562410315543,1.2712165675405356,-0.8812917883573097,1.1057062238420212,-2.122791719494098,0.8177655615038196,-3.5533703282410167
1.3360051746979904,0.28351296180731345,1.2761302475086869,-0.8726888753928956,1.1093905378609559,-2.127172636379302,0.8214498755227546,-3.5577512451262203
1.3347746736001598,0.2575294100274774,1.279405529643626,-0.8727312542744934,1.1134846405296297,-2.1272256099812994,0.8251341895416896,-3.562132162011425
1.3323132930216273,0.20122906582439937,1.2826811901614363,-0.8684403925126856,1.1167595442816973,-2.131601229506303,0.8288196387092388,-3.553513356966411
1.3294443940905847,0.16660022219855053,1.2863655041803712,-0.8728213093978896,1.1220818777509733,-2.1316700951889,0.8325035743453023,-3.56222751449502
1.3269833918949232,0.11463311863887826,1.2900501965821776,-0.8728689856396872,1.1269951793362532,-2.1274004228678915,0.8357788564802413,-3.5622698933766186
1.3245235248478762,0.07566573700942358,1.2925062798005107,-0.8772340104442922,1.1298606728214535,-2.1317707450326955,0.8390533818494375,-3.5709787535450275
1.323292645367174,0.04534894458618188,1.2965996257034413,-0.8859534653331012,1.135181871142115,-2.1448393326455104,0.8423286639843764,-3.571021132426626
1.3212429453527375,0.015042746883339397,1.300692593223501,-0.8990061608653166,1.141323403527997,-2.1405855524051014,0.8456039461193154,-3.571063511308224
1.3191921101896866,-0.028263172749720678,1.3039667402098258,-0.9120482616771324,1.1450065823983178,-2.157966191220523,0.8484698179873871,-3.5711005928296222
1.3175510636763743,-0.06724114909957479,1.3072408871961505,-0.9250903624889482,1.148281864533257,-2.158008570102121,0.8513356898554587,-3.5711376743510206
1.3175450095504317,-0.13657299939406942,1.309286803381873,-0.9381165712201645,1.152785377468798,-2.1580668410643185,0.853792151456663,-3.5711694585122196
1.3179510143714566,-0.1755774625449218,1.3121507833355877,-0.9598198559585924,1.1568787233717288,-2.1667862959531274,0.8570666768258591,-3.5798783186806293
1.31876680784222,-0.21025398241256865,1.3141951859898247,-0.9901790272634328,1.1605626590077924,-2.175500453481737,0.8599325486939307,-3.5799154002020277
