RE_160_A_0.0,,RE_160_A_0.5,,RE_160_A_1.0,,RE_160_A_1.5,
X,Y,X,Y,X,Y,X,Y
1.3180773198225677,0.5187886452371512,1.2298486752862838,-0.6473284709113956,1.0803747375713746,-1.8534649506269023,0.7753748266914187,-3.28084730336753
1.3228641483158428,0.533910144541674,1.2346329269833125,-0.6473585335342673,1.083246147521674,-1.8484324675581605,0.7801590783884474,-3.280877365990402
1.330521527827335,0.5490136062724738,1.23750347800153,-0.6473765711079904,1.086115839607809,-1.8535010257743485,0.7839864797460705,-3.2809014160886996
1.33530835632061,0.5641351055769965,1.241330879359153,-0.6474006212062879,1.0889872495581083,-1.8484685427056067,0.7878138811036935,-3.2809254661869964
1.3400934669497209,0.5691555635965896,1.2446832912754013,-0.6272195824724387,1.0932930760854342,-1.848495599066191,0.7906852910539929,-3.275892983118255
1.3443992934770468,0.569128507236005,1.2480322674633215,-0.6272406263084489,1.0971204774430574,-1.8485196491644889,0.7949885407850726,-3.2910716014062347
1.3487034021402087,0.5590004095904907,1.2509036774136209,-0.6222081432397071,1.1009487377327627,-1.8434931786203212,0.7973815255656691,-3.2860361120752053
1.3486982485477164,0.5286972857357014,1.2532958032621353,-0.6222231745511431,1.1038184298188978,-1.8485617368365093,0.8012089269232922,-3.286060162173503
1.3462992512425453,0.48830815190741816,1.259037764230652,-0.6172087290561243,1.1081242563462237,-1.8485887931970937,0.8050371872129972,-3.281033691629335
1.3443812559033237,0.46306757374424257,1.2614307490112482,-0.6121732397250954,1.1129076491111705,-1.8536693764624306,0.8093430137403231,-3.28106074798992
1.3400702757835055,0.4327915062500377,1.266694284810062,-0.6071557879677896,1.1162549074349264,-1.8637914615833706,0.8131704150979462,-3.2810847980882176
1.3371954301048778,0.40755694061143644,1.27100097026947,-0.6021323236859093,1.1215184432337402,-1.8587740098260648,0.8174762416252721,-3.2811118544488016
1.3343214433583324,0.3873728956153,1.2762636471362019,-0.6021653925710684,1.1243889942519576,-1.8587920473997879,0.821782068152598,-3.2811389108093865
1.3319258817814896,0.3671858443568764,1.2805694736635276,-0.602192448931653,1.1286948207792835,-1.8588191037603723,0.8251293264763542,-3.291260995930327
1.3276157605937537,0.34196029750513657,1.2863114346320441,-0.5971780034366343,1.1334790724763122,-1.8588491663832443,0.8289550099698131,-3.3013860873135537
1.3256977652545319,0.31671971934196097,1.2915723936346117,-0.607312113606723,1.1363479056303656,-1.8689682452418972,0.8342185457686269,-3.296368635556248
1.3228220606438224,0.2864346330608948,1.2958782201619379,-0.6073391699673076,1.1411321573273943,-1.8689983078647692,0.8375675219565469,-3.2963896793922585
1.3204256401348975,0.26119706116000607,1.3006598950627204,-0.6225207945175739,1.146394834194126,-1.8690313767499278,0.842352632585658,-3.2913692213726655
1.3170740871507312,0.24606654306862175,1.3044881553524257,-0.6174943239734065,1.148785242178476,-1.8791474493462936,0.845701608773578,-3.2913902652086753
1.3132432500647802,0.2258885105970596,1.3083129799138025,-0.6326699359990988,1.1540453422489618,-1.894332080158847,0.849527292267037,-3.301515356591903
1.3103666865219885,0.19055290367352873,1.3126162296448822,-0.647848554287078,1.1583503098442056,-1.8994096571618968,0.853832259862281,-3.3065929335949527
1.3074901229791966,0.1552172967499974,1.3173987634777469,-0.6579796581948796,1.1621768522697467,-1.904484227902659,0.8581380863896069,-3.3066199899555366
1.3036584269611633,0.12998874363597057,1.319788312530015,-0.6731462514337101,1.1660033946952875,-1.9095587986434213,0.8614862036454448,-3.311691554434012
1.3022205746558086,0.11484620049543759,1.3217002953446626,-0.6832593177677886,1.1698290781887466,-1.9196838900266484,0.8657911712406887,-3.316769131437062
1.2998198594864736,0.0643560253822244,1.3255242609739573,-0.7034854504359453,1.1736547616822057,-1.929808981409876,0.869140147428609,-3.3167901752730717
1.297902723079334,0.04416596786151383,1.3293456498070062,-0.7388631450314973,1.1779605882095314,-1.9298360377704604,0.8739243991256378,-3.3168202378959437
1.2959847277401122,0.018925389698338124,1.3312533379612432,-0.7742288145779002,1.1817845538388263,-1.9500621704386174,0.876793232279691,-3.326939316754597
1.2940650145367263,-0.01641622974976764,1.331249043300833,-0.7994814177902247,1.1851318121625825,-1.9601842555595574,0.8810973409428527,-3.337067414400111
